Issue Id,Issue Type,Summary,Epic Name,Epic Link,Description,Acceptance Criteria,Priority,Labels,Components,Story Points
STORY-009,Story,"As a user, I want the assistant to queue actions instead of only routing me to forms so that the portal feels AI-first rather than menu-first.",,AI-SHELL,"Create a shared workflow queue pattern for common intents like claims, prior auth, appointments, enrollment, payment review, and multilingual support.",#NAME?,High,"workflow-queue,ai-first,legacy",AI Platform,8
STORY-010,Story,"As a user, I want a human handoff option so that unresolved AI interactions can be escalated with full context.",,AI-SHELL,"Implement a handoff request flow that captures the active page, prompt, role, and attachments for handover to a live specialist.",#NAME?,High,"handoff,live-agent,support",AI Platform,5
STORY-011,Story,"As an operations team member, I want settings for voice replies, preferred language, and legacy-mode visibility so that the AI experience can be tuned per environment.",,AI-SHELL,"Add a shared settings surface that stores voice reply, preferred language, and whether legacy workflows remain prominently visible.",#NAME?,Medium,"settings,multilingual,legacy-mode",AI Platform,3
EPIC-003,Epic,Provider Dashboard and Operational Intelligence,PROVIDER-DASHBOARD,,"Create an AI-first provider command center that combines operational metrics, next-best actions, and workflow launch points for revenue cycle, quality, and member operations.",#NAME?,Highest,"provider,dashboard,intelligence,analytics",Provider Portal,
STORY-012,Story,"As a provider operations lead, I want a dashboard prompt bar so that I can ask for claim, auth, payment, and member insights directly from the landing screen.",,PROVIDER-DASHBOARD,"Add a provider dashboard prompt surface with text, voice, suggested prompts, and action status messaging.",#NAME?,High,"provider,dashboard,prompt-bar",Provider Portal,5
STORY-013,Story,"As a provider executive, I want operational intelligence metrics for coding yield, denials, MLR, MIPS, star ratings, and predictive UM so that I can prioritize action.",,PROVIDER-DASHBOARD,"Build an intelligence section with production-ready metric tiles, narrative summaries, and recommended actions tied to provider goals.",#NAME?,High,"provider,analytics,quality",Provider Portal,8
STORY-014,Story,"As a provider analyst, I want AI-generated next-best actions from the dashboard so that metrics become operational work instead of passive reporting.",,PROVIDER-DASHBOARD,"Convert dashboard insights into AI actions that can open workflow modals for coding, payment recovery, appeals, utilization review, and member operations.",#NAME?,High,"dashboard,actions,workflows",Provider Portal,8
STORY-015,Story,"As a provider user, I want notifications and settings in the top bar across provider screens so that shell behavior is consistent.",,PROVIDER-DASHBOARD,"Standardize provider top-bar controls for notifications, settings, and profile with working shared panels.",#NAME?,Medium,"provider,shell,consistency",Provider Portal,3
STORY-016,Story,"As a provider operations team, I want ambient intake and live-agent readiness surfaced from the dashboard so that call-center and workflow support can start from one place.",,PROVIDER-DASHBOARD,"Expose ambient listening, intake summarization, and live-agent handoff as dashboard-level provider actions.",#NAME?,Medium,"provider,ambient,call-center",Provider Portal,5
EPIC-004,Epic,"Provider Claims, Coding, Appeals, and Denials",PROVIDER-CLAIMS,,"Support AI-assisted claim submission, coding suggestions, claim triage, denial prevention, and appeal preparation within a unified provider workflow.",#NAME?,Highest,"provider,claims,appeals,denials,coding",Provider Portal,
STORY-017,Story,"As a biller, I want claim submission to show selected CPT and ICD codes on the same screen so that I can verify the packet before submitting.",,PROVIDER-CLAIMS,Keep suggested and manually added codes visible in a selected-code panel with validation before submit.,#NAME?,High,"claims,coding,provider",Claims,5
STORY-018,Story,"As a coder, I want AI-assisted autonomous coding and QA review so that missing documentation and denial risk can be detected before claim submission.",,PROVIDER-CLAIMS,"Introduce a pre-claim AI workflow that reads clinical narrative, evaluates coding confidence, and highlights revenue integrity gaps.",#NAME?,High,"coding,qa,revenue-integrity",Claims,8
STORY-019,Story,"As a claims specialist, I want denied claims to route directly into the appeal page with selected claim context so that appeal preparation starts immediately.",,PROVIDER-CLAIMS,"Store claim context when appeal is triggered and hydrate the denial analysis page with claim, patient, and denial reason details.",#NAME?,High,"appeals,claims-routing,provider",Claims,5
STORY-020,Story,"As a claims lead, I want an AI triage experience for pending, denied, and appeal-ready claims so that the queue can be prioritized faster.",,PROVIDER-CLAIMS,"Build a claim triage workflow that groups queue items by risk, suggested action, and automation confidence.",#NAME?,High,"triage,claims,ai",Claims,8
STORY-021,Story,"As an appeals specialist, I want AI appeal packaging with evidence and specialist handoff so that denial responses are faster and more defensible.",,PROVIDER-CLAIMS,"Create an appeal workflow that packages denial reasoning, clinical counterpoints, supporting files, and human escalation into one review surface.",#NAME?,High,"appeals,evidence,handoff",Claims,8
STORY-022,Story,"As a provider user, I want claim success and draft-save feedback so that I know whether my work has been preserved or sent.",,PROVIDER-CLAIMS,Show clear confirmation on save draft and submit actions for claims with persisted local or server-side state.,#NAME?,Medium,"drafts,success-messages,claims",Claims,3
EPIC-005,Epic,Provider Prior Authorization and Utilization Management,PROVIDER-AUTH,,"Deliver AI-assisted prior authorization, utilization management, medical necessity review, and e-form packet generation for providers.",#NAME?,Highest,"provider,prior-auth,utilization,eforms",Provider Portal,
STORY-023,Story,"As a provider user, I want the prior authorization wizard to move through all steps reliably so that requests can be completed without dead ends.",,PROVIDER-AUTH,"Complete the multi-step prior authorization flow with back, next, save draft, validation, and final submit behavior.",#NAME?,High,"prior-auth,wizard,provider",Prior Authorization,5
STORY-024,Story,"As a utilization reviewer, I want AI review of clinical orders and medical necessity so that the request packet is complete before payer submission.",,PROVIDER-AUTH,"Build a utilization management workflow that checks clinical necessity, orders, labs, imaging, and payer criteria before final auth submission.",#NAME?,High,"utilization,clinical-orders,prior-auth",Prior Authorization,8
STORY-025,Story,"As a coordinator, I want AI-generated e-forms and supporting packet creation so that structured fields and documents can be prepared faster.",,PROVIDER-AUTH,Generate e-form packets from provider input and attached documents while preserving the wizard for manual edits.,#NAME?,Medium,"eforms,packet-builder,documents",Prior Authorization,5
STORY-026,Story,"As a provider user, I want queue-level interaction from the auth list so that I can review approved, pending, and missing-document requests faster.",,PROVIDER-AUTH,Make the authorization queue cards and filter actions interactive and AI-aware.,#NAME?,Medium,"auth-queue,filters,provider",Prior Authorization,5
STORY-027,Story,"As an operations team, I want attached clinical files to feed directly into prior auth workflows so that Nventr can package evidence with fewer manual steps.",,PROVIDER-AUTH,Carry assistant file metadata into prior authorization workflows and packet review surfaces.,#NAME?,Medium,"files,prior-auth,assistant",Prior Authorization,3
EPIC-006,Epic,"Provider Billing, EDI 835, ERA, Reconciliation, and PITL",PROVIDER-PAYMENTS,,"Create a provider billing and reconciliation workspace that combines payment exceptions, batch reporting, EDI/ERA review, underpayment recovery, and PITL checkpoints.",#NAME?,Highest,"provider,billing,era,edi,reconciliation,pitl",Provider Portal,
STORY-028,Story,"As a provider finance user, I want Generate Batch Report to produce a usable report so that I can review reconciliation work outside the portal if needed.",,PROVIDER-PAYMENTS,"Create a downloadable provider batch report artifact summarizing EDI 835, ERA, processed amounts, and recovery opportunity.",#NAME?,High,"batch-report,billing,provider",Payments,3
STORY-029,Story,"As a reconciliation analyst, I want Resolve Now to launch a deeper AI recovery workflow so that payment exceptions are not dead-end buttons.",,PROVIDER-PAYMENTS,"Bind payment exception CTAs into a dedicated workflow that covers ERA exceptions, posting gaps, co-pay mismatches, and underpayments.",#NAME?,High,"reconciliation,exceptions,ai",Payments,5
STORY-030,Story,"As a provider finance lead, I want EDI 835 and ERA intelligence surfaced with recovery opportunity so that financial leakage can be prioritized.",,PROVIDER-PAYMENTS,"Add an AI workflow and metric view for remit normalization, posting completion, underpay detection, and next-best recovery action.",#NAME?,High,"edi835,era,underpay",Payments,8
STORY-031,Story,"As an administrator, I want receipt downloads and email drafts to work so that provider finance communication is not blocked.",,PROVIDER-PAYMENTS,"Bind provider receipt, download, and email actions to downloadable artifacts and mail drafts with relevant context.",#NAME?,Medium,"receipts,email,billing",Payments,3
STORY-032,Story,"As an operations architect, I want PITL workflow visibility so that AI automation still respects human governance in payment administration.",,PROVIDER-PAYMENTS,Create a PITL integration workflow showing where AI recommendations connect into administrative review checkpoints.,#NAME?,Medium,"pitl,governance,ai",Payments,5
EPIC-007,Epic,Provider Member Management and Assisted Enrollment,PROVIDER-MEMBERS,,"Give providers a workspace for viewing members, tracking enrollment status, resuming drafts, and enrolling members on their behalf.",#NAME?,High,"provider,members,enrollment,drafts",Provider Portal,
STORY-033,Story,"As a provider user, I want a member directory with status and plan context so that I can understand the current state of the members I manage.",,PROVIDER-MEMBERS,"Build a provider member directory showing enrollment state, plan, contact, and last-updated information.",#NAME?,High,"members,directory,provider",Members,5
STORY-034,Story,"As a provider user, I want enrollment drafts to appear in the members workspace so that I can resume incomplete onboarding.",,PROVIDER-MEMBERS,Persist member enrollment drafts and expose a resume queue in the provider members page.,#NAME?,High,"drafts,enrollment,provider",Members,5
STORY-035,Story,"As a provider user, I want to launch provider-assisted member enrollment from multiple provider entry points so that enrollment is accessible where work happens.",,PROVIDER-MEMBERS,"Allow new member enrollment to be started from dashboard, members page, and AI workflow entry points.",#NAME?,Medium,"enrollment,launchpoints,provider",Members,5
STORY-036,Story,"As a provider operator, I want AI workflow support around member operations so that I can collect missing enrollment data with less manual follow-up.",,PROVIDER-MEMBERS,"Create a provider-side member operations workflow that summarizes missing steps, plan mapping, and activation blockers.",#NAME?,Medium,"members,ai,enrollment-ops",Members,5
EPIC-008,Epic,"Member Dashboard, Coverage, and Benefits",MEMBER-DASHBOARD,,"Deliver a member-first dashboard focused on coverage, benefits, activity, next steps, and intelligent guidance instead of provider operations content.",#NAME?,Highest,"member,dashboard,benefits,coverage",Member Portal,
STORY-037,Story,"As a member, I want the dashboard to show member-focused insights and next steps so that I know what to do without deciphering provider language.",,MEMBER-DASHBOARD,"Refine the member dashboard to show coverage, care, billing, claims, enrollment, and next recommended actions.",#NAME?,High,"member,dashboard,ux",Member Portal,5
STORY-038,Story,"As a member, I want eligibility, benefits, coverage, and status visible on the dashboard so that I can quickly understand my plan standing.",,MEMBER-DASHBOARD,"Show plan details, member ID, coverage start, eligibility state, and activation messaging in a structured dashboard section.",#NAME?,High,"benefits,coverage,eligibility",Member Portal,5
STORY-039,Story,"As a member, I want dashboard prompts for EOB, appointments, pharmacy, billing, and enrollment so that Nventr can guide me from the main landing page.",,MEMBER-DASHBOARD,Provide a member dashboard prompt bar with role-specific chips and text/voice input.,#NAME?,Medium,"member,prompts,voice",Member Portal,5
STORY-040,Story,"As a member, I want multilingual support cues and live-help options visible on the dashboard so that I know I can get help in a way that works for me.",,MEMBER-DASHBOARD,"Surface language preference, multilingual support, and live-agent escalation options in member-facing dashboard and assistant flows.",#NAME?,Medium,"multilingual,member,handoff",Member Portal,3
EPIC-009,Epic,"Member Billing, HSA, EOB, Statements, and Point-of-Service Payment",MEMBER-BILLING,,"Support AI-guided billing, HSA account management, EOB explanation, statement support, receipts, administrator communication, and point-of-service payment guidance for members.",#NAME?,Highest,"member,billing,hsa,eob,statements,pos-payment",Member Portal,
STORY-041,Story,"As a member, I want billing CTAs like pay with HSA, payment plan, concierge help, report download, and receipt download to work so that I can complete financial tasks from one screen.",,MEMBER-BILLING,"Ensure all member billing actions create meaningful outcomes such as notifications, downloads, modals, or state changes.",#NAME?,High,"billing,hsa,downloads,member",Billing,5
STORY-042,Story,"As a member, I want Email to Administrator to open a draft with the admin recipient hidden and prefilled so that I can escalate billing questions quickly.",,MEMBER-BILLING,Build a member-friendly administrator email draft flow with optional CC and editable message content.,#NAME?,Medium,"email,admin,billing",Billing,3
STORY-043,Story,"As a member, I want EOB explanations in plain language so that I can understand what was paid, denied, or still owed.",,MEMBER-BILLING,"Add EOB explanation behavior through Nventr and the billing experience with simple, member-safe wording.",#NAME?,High,"eob,member,ai",Billing,5
STORY-044,Story,"As a member, I want statement AI support so that I can understand statement lines, download artifacts, and decide on the next payment action.",,MEMBER-BILLING,"Provide statement-oriented AI responses, downloads, and recommended actions in billing workflows.",#NAME?,Medium,"statements,ai,billing",Billing,5
STORY-045,Story,"As a member, I want point-of-service payment guidance so that I understand whether to use HSA, card, or a payment plan at the moment of care.",,MEMBER-BILLING,Create a member AI workflow for point-of-service payment guidance tied to HSA balances and billing context.,#NAME?,Medium,"pos-payment,hsa,member",Billing,3
EPIC-010,Epic,"Member Appointments, Lab Scheduling, and Care Journey",MEMBER-CARE,,"Enable simple in-network appointment booking, test or lab follow-up scheduling, and care journey management for members.",#NAME?,High,"member,appointments,lab-scheduling,care-journey",Member Portal,
STORY-046,Story,"As a member, I want to search in-network providers and book an appointment if a slot is available so that the flow is fast and simple.",,MEMBER-CARE,"Support provider search, slot confirmation, booking success feedback, and calendar visibility from the member appointment page.",#NAME?,High,"appointments,booking,member",Appointments,5
STORY-047,Story,"As a member, I want Nventr to schedule appointments from a natural-language request so that I do not have to navigate every booking control manually.",,MEMBER-CARE,Support AI booking prompts that search provider matches and book or suggest slots directly from the appointment page or assistant.,#NAME?,High,"appointments,ai,member",Appointments,5
STORY-048,Story,"As a member, I want lab or test follow-up scheduling tied to appointments so that additional care steps can be handled in the same journey.",,MEMBER-CARE,Extend appointment workflows and AI prompts to support test or lab scheduling and preparation reminders.,#NAME?,Medium,"lab,test,care-journey",Appointments,5
STORY-049,Story,"As a member, I want the care journey and follow-up layer to remind me about pre-visit and post-visit steps so that I stay on track.",,MEMBER-CARE,"Integrate care journey reminders, orchestration logic, and follow-up configuration with appointment and member dashboard context.",#NAME?,Medium,"care-journey,follow-up,member",Care Journey,5
EPIC-011,Epic,"Member Pharmacy, Refills, Delivery, and Dependents",MEMBER-PHARMACY,,"Provide members with working refill, pharmacy network, medication support, delivery options, and dependent management workflows.",#NAME?,High,"member,pharmacy,refills,dependents",Member Portal,
STORY-050,Story,"As a member, I want refill actions and success messages to update the pharmacy status table so that I know the request really went through.",,MEMBER-PHARMACY,"Wire refill-related CTAs to update on-screen status, notifications, and modal confirmations.",#NAME?,High,"pharmacy,refills,status",Pharmacy,5
STORY-051,Story,"As a member, I want View Logic Chain to explain why the refill is allowed or blocked so that the AI experience feels trustworthy.",,MEMBER-PHARMACY,"Provide a clear AI reasoning modal for refill checks, coverage checks, and next action recommendations.",#NAME?,Medium,"pharmacy,explainability,ai",Pharmacy,3
STORY-052,Story,"As a member, I want Change Pharmacy to show in-network options and update my selected pharmacy so that future fills go to the right place.",,MEMBER-PHARMACY,Show in-network pharmacies in a working selection modal and persist the chosen pharmacy in member state.,#NAME?,High,"pharmacy,network,member",Pharmacy,5
STORY-053,Story,"As a member, I want the refill-required card to do something useful when clicked so that urgent medication actions are not hidden behind dead UI.",,MEMBER-PHARMACY,Bind the refill-required tile into a modal that offers refill and pharmacy-change actions.,#NAME?,Medium,"pharmacy,urgent-actions,member",Pharmacy,3
STORY-054,Story,"As a member, I want to add and manage dependents so that family members can be included in portal workflows.",,MEMBER-PHARMACY,Create a dependent management flow under the member dependents area with stored household state.,#NAME?,High,"dependents,household,member",Dependents,5
EPIC-012,Epic,"Consolidated Demo, QA, Accessibility, and Release Readiness",PORTAL-QUALITY,,"Prepare the portal for deeper implementation by maintaining a consolidated preview, performing page-by-page QA, and defining non-functional expectations.",#NAME?,High,"consolidated,qa,accessibility,nfr",Platform,
STORY-055,Story,"As a product reviewer, I want a consolidated HTML build that preserves navigation between pages so that stakeholders can review the prototype from one file.",,PORTAL-QUALITY,Maintain the consolidated portal build script and output so all portal pages can be navigated inside a single HTML artifact.,#NAME?,Medium,"consolidated,demo,build",Platform,5
STORY-056,Story,"As a QA lead, I want page-by-page broken-flow findings documented so that the team can prioritize remaining fixes after prototype hardening.",,PORTAL-QUALITY,Run repeatable QA sweeps against provider and member screens and convert findings into backlog-ready remediation items.,#NAME?,Medium,"qa,testing,backlog",Platform,3
STORY-057,Story,"As a frontend engineer, I want consistent shell navigation and labels across provider and member pages so that the portal behaves like one product.",,PORTAL-QUALITY,"Standardize left navigation, top controls, labels, and AI entry points across pages and personas.",#NAME?,Medium,"consistency,navigation,frontend",Platform,5
STORY-058,Story,"As an accessibility reviewer, I want keyboard-friendly modals, prompts, and notifications so that core flows are usable beyond pointer-only interactions.",,PORTAL-QUALITY,"Improve focus management, keyboard triggers, aria labels, and visible status messaging for assistant, workflow modals, and page banners.",#NAME?,Medium,"accessibility,keyboard,ux",Platform,5
STORY-059,Story,"As a product and engineering team, I want telemetry and event tracking stories defined so that usage of AI prompts and legacy fallbacks can be measured once the real build starts.",,PORTAL-QUALITY,"Define event instrumentation for sign-in, prompt usage, workflow queue actions, downloads, handoffs, and fallback-to-legacy behavior.",#NAME?,Medium,"telemetry,analytics,product",Platform,3
